source,line,type,time,context,event
research_log_2026-06-23.md,149,heading,,2.5 8ETF优化组合,2.5 8ETF优化组合
research_log_2026-06-23.md,179,heading,,2.6 证券-银行相关性检验,2.6 证券-银行相关性检验
research_log_2026-06-23.md,197,heading,,2.7 三策略机制拆解对比,2.7 三策略机制拆解对比
research_log_2026-06-23.md,209,heading,,2.8 完整因子筛选全链路,2.8 完整因子筛选全链路
research_log_2026-06-23.md,237,heading,,2.9 Alpha交叉验证,2.9 Alpha交叉验证
research_log_2026-06-23.md,253,heading,,2.10 新维度因子探索,2.10 新维度因子探索
research_log_2026-06-23.md,277,heading,,2.11 多墙稳健性检验 (最终判定),2.11 多墙稳健性检验 (最终判定)
research_log_2026-06-23.md,294,heading,,三、今日方法论创新,三、今日方法论创新
research_log_2026-06-23.md,296,heading,,"3.1 POOS墙 (vs 昨日""冻结期"")","3.1 POOS墙 (vs 昨日""冻结期"")"
research_log_2026-06-23.md,300,heading,,3.2 机制拆解 (Full/NoTrend/TrendOnly),3.2 机制拆解 (Full/NoTrend/TrendOnly)
research_log_2026-06-23.md,303,heading,,3.3 因子筛选全管道,3.3 因子筛选全管道
research_log_2026-06-23.md,306,heading,,3.4 多墙区间报告 (vs 单点Sharpe),3.4 多墙区间报告 (vs 单点Sharpe)
research_log_2026-06-23.md,312,heading,,四、失败探索及其价值,四、失败探索及其价值
research_log_2026-06-23.md,325,heading,,五、最终推荐,五、最终推荐
research_log_2026-06-23.md,341,heading,,六、文件索引,六、文件索引
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,1,heading,,00 - 完整时间线与关键决策,00 - 完整时间线与关键决策
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,3,heading,,2026-06-22 (Day 1) — 基线建立与策略优化,2026-06-22 (Day 1) — 基线建立与策略优化
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,5,heading,,上午,上午
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,7,bullet,10:00,上午,10:00 因子增强实验: 5因子→8因子 → Sharpe+0.04，换手可控
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,8,bullet,11:00,上午,11:00 ETF颗粒度对比: 6只(Sharpe 0.79) > 16只(0.45) > 22只(0.21)
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,9,bullet,,上午,关键规律：ETF越多绩效越差，数据窗口缩短+信号稀释
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,11,heading,,下午,下午
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,12,bullet,13:00,下午,13:00 科技内部轮动实验 → 结论：不可靠，全样本等权持有优于主动轮动
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,13,bullet,14:00,下午,14:00 趋势过滤优化：7种均线策略对比 → 200MA最简单最优
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,14,bullet,,下午,崩盘保护过滤器(Sharpe 0.48) < 无过滤(0.52) < 200MA(0.79)
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,17,bullet,17:00,下午,17:00 最终收束 → 6ETF + Original-5 + 180MA + 滚动8年
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,19,heading,,Day 1 核心交付,Day 1 核心交付
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,20,bullet,,Day 1 核心交付,策略基线: 6ETF/5因子/180MA/月频调仓
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,21,bullet,,Day 1 核心交付,40+次独立回测实验
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,22,bullet,,Day 1 核心交付,关键发现: 粗粒度>细粒度，简单过滤器>复杂过滤器
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,26,heading,,2026-06-23 (Day 2) — 系统性验证与新维度探索,2026-06-23 (Day 2) — 系统性验证与新维度探索
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,28,heading,,09:00-10:00 高频自适应轮动,09:00-10:00 高频自适应轮动
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,29,bullet,,09:00-10:00 高频自适应轮动,问题：细分ETF是否因为需要更高频率？
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,30,bullet,,09:00-10:00 高频自适应轮动,实验：3粒度×3频率=9组，频率越快因子回溯期等比缩放
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,31,bullet,,09:00-10:00 高频自适应轮动,Bug修复：DateOffset不支持小数年份→取整月；周频low_vol_window修复
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,32,bullet,,09:00-10:00 高频自适应轮动,结论：月频是唯一可行配置，换手成本远大于信号改善
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,33,bullet,,09:00-10:00 高频自适应轮动,文件：`high_freq_adaptive.py`
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,35,heading,,10:00-11:00 ETF系统性筛选,10:00-11:00 ETF系统性筛选
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,36,bullet,,10:00-11:00 ETF系统性筛选,问题：原始6只是否有理论依据？
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,38,bullet,,10:00-11:00 ETF系统性筛选,发现：原始6只覆盖GICS六大行业，缺失军工/证券/银行方向
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,39,bullet,,10:00-11:00 ETF系统性筛选,文件：`screen_etfs.py`
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,41,heading,,11:00-12:00 gap_return_20因子POOS验证,11:00-12:00 gap_return_20因子POOS验证
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,42,bullet,,11:00-12:00 gap_return_20因子POOS验证,嵌套走步：3训练窗口×2因子集 → ΔSharpe=+0.07(滚动5年)
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,43,bullet,,11:00-12:00 gap_return_20因子POOS验证,"POOS墙检验(墙=2022-12-31) → ΔSharpe=+0.03, 方向稳定但增量微弱"
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,44,bullet,,11:00-12:00 gap_return_20因子POOS验证,结论：保留为候选，不纳入主策略
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,45,bullet,,11:00-12:00 gap_return_20因子POOS验证,"文件：`validate_gap_return.py`, `poos_gap_return.py`"
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,47,heading,,12:00-13:00 12ETF长历史回测 → 🔥核心发现,12:00-13:00 12ETF长历史回测 → 🔥核心发现
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,48,bullet,,12:00-13:00 12ETF长历史回测 → 🔥核心发现,12ETF：原始6+证券/银行/军工/有色/传媒/非银，共同起点2018-01
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,55,bullet,,12:00-13:00 12ETF长历史回测 → 🔥核心发现,"文件：`backtest_12etf.py`, `poos_12etf.py`"
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,57,heading,,13:00-14:00 8ETF优化组合设计,13:00-14:00 8ETF优化组合设计
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,58,bullet,,13:00-14:00 8ETF优化组合设计,设计：7经济驱动力×1代表ETF
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,59,bullet,,13:00-14:00 8ETF优化组合设计,发现：证券-银行相关系数高达0.89，实际只有6个独立信号
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,60,bullet,,13:00-14:00 8ETF优化组合设计,结论：8ETF未能超越6ETF
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,61,bullet,,13:00-14:00 8ETF优化组合设计,"文件：`backtest_8etf.py`, `poos_8etf.py`"
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,63,heading,,14:00-15:00 策略对比与机制分解,14:00-15:00 策略对比与机制分解
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,64,bullet,,14:00-15:00 策略对比与机制分解,6ETF vs 8ETF POOS对比
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,67,bullet,,14:00-15:00 策略对比与机制分解,"文件：`compare_8v6.py`, `compare_and_decompose.py`"
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,69,heading,,15:00-16:00 Alpha交叉验证 + 多因子筛选,15:00-16:00 Alpha交叉验证 + 多因子筛选
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,71,bullet,,15:00-16:00 Alpha交叉验证 + 多因子筛选,27→11→Lasso→POOS完整管道
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,73,bullet,,15:00-16:00 Alpha交叉验证 + 多因子筛选,"文件：`alpha_cv_poos.py`, `factor_pipeline.py`, `lasso_screen_ridge.py`"
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,75,heading,,16:00-18:00 新维度因子探索,16:00-18:00 新维度因子探索
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,81,bullet,,16:00-18:00 新维度因子探索,文件：`new_dims_v2.py`
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,83,heading,,18:00-19:00 Ridge因子质量诊断 + 因子精简,18:00-19:00 Ridge因子质量诊断 + 因子精简
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,84,bullet,,18:00-19:00 Ridge因子质量诊断 + 因子精简,Bug发现：Ridge结果与等权组合混淆，mom_126/mom_252 r=-0.82(共线性)
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,85,bullet,,18:00-19:00 Ridge因子质量诊断 + 因子精简,精简实验：Original-5(0.86) → Pure2 mom_126+low_vol(0.92) → +0.06改善!
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,86,bullet,,18:00-19:00 Ridge因子质量诊断 + 因子精简,结论：去除共线/噪声因子改善POOS
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,87,bullet,,18:00-19:00 Ridge因子质量诊断 + 因子精简,方法：逐步删除+POOS重验证
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,89,heading,,19:00-21:00 多墙稳健性检验,19:00-21:00 多墙稳健性检验
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,90,bullet,,19:00-21:00 多墙稳健性检验,5墙(2018-2022) × 2策略 × 3因子集 → 15组
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,91,bullet,,19:00-21:00 多墙稳健性检验,结论：全墙正向(均值0.92)，墙选择稳健
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,92,bullet,,19:00-21:00 多墙稳健性检验,文件：`multi_wall.py`
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,94,heading,,21:00-23:00 全面稳健性检验框架搭建,21:00-23:00 全面稳健性检验框架搭建
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,96,bullet,,21:00-23:00 全面稳健性检验框架搭建,数据缓存：13只ETF + 15个宏观因子 → CSV本地化
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,97,bullet,,21:00-23:00 全面稳健性检验框架搭建,全面检验框架：3ETF粒度×3POOS截点×6因子×2模型=108组
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,102,bullet,,21:00-23:00 全面稳健性检验框架搭建,standalone (`standalone_robustness.py`) → 完全独立，月度信号优化，向量化趋势质量
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,103,bullet,,21:00-23:00 全面稳健性检验框架搭建,Bug追踪：
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,113,heading,,🏗️ 文件版本演进关系,🏗️ 文件版本演进关系
mvp_cn/outputs/research_documentation/00_MASTER_TIMELINE.md,141,heading,,🔑 最关键的技术决策,🔑 最关键的技术决策
mvp_cn/outputs/research_documentation/01_DAY1_2026-06-22.md,1,heading,,2026-06-22 研究探索日志,2026-06-22 研究探索日志
mvp_cn/outputs/research_documentation/01_DAY1_2026-06-22.md,6,heading,,概述,概述
mvp_cn/outputs/research_documentation/01_DAY1_2026-06-22.md,10,heading,,核心实验,核心实验
mvp_cn/outputs/research_documentation/01_DAY1_2026-06-22.md,12,heading,,调仓日优化,调仓日优化
mvp_cn/outputs/research_documentation/01_DAY1_2026-06-22.md,15,heading,,因子增强 (5→8),因子增强 (5→8)
mvp_cn/outputs/research_documentation/01_DAY1_2026-06-22.md,16,bullet,,因子增强 (5→8),Sharpe +0.04，CAGR +1.5pp
mvp_cn/outputs/research_documentation/01_DAY1_2026-06-22.md,18,heading,,ETF颗粒度对比 (6/16/22),ETF颗粒度对比 (6/16/22)
mvp_cn/outputs/research_documentation/01_DAY1_2026-06-22.md,21,heading,,趋势过滤优化 ★,趋势过滤优化 ★
mvp_cn/outputs/research_documentation/01_DAY1_2026-06-22.md,25,heading,,最终基线,最终基线
mvp_cn/outputs/research_documentation/01_DAY1_2026-06-22.md,26,bullet,,最终基线,6ETF + Original-5 + 180MA + 8年滚动训练
mvp_cn/outputs/research_documentation/02_DAY2_2026-06-23.md,1,heading,,2026-06-23 研究探索日志,2026-06-23 研究探索日志
mvp_cn/outputs/research_documentation/02_DAY2_2026-06-23.md,3,heading,,概述,概述
mvp_cn/outputs/research_documentation/02_DAY2_2026-06-23.md,9,bullet,,概述,趋势过滤: 200MA → 180MA（ma180_final验证更优）
mvp_cn/outputs/research_documentation/02_DAY2_2026-06-23.md,10,bullet,,概述,新增方法论: POOS墙前/墙后严格分离、多墙稳健性检验、机制拆解（Full/NoTrend/TrendOnly）
mvp_cn/outputs/research_documentation/02_DAY2_2026-06-23.md,11,bullet,,概述,ETF选择: ad-hoc 6只 → 系统性筛选（226→26→8→6的完整链路）
mvp_cn/outputs/research_documentation/02_DAY2_2026-06-23.md,15,heading,,一、探索时间线,一、探索时间线
mvp_cn/outputs/research_documentation/02_DAY2_2026-06-23.md,35,heading,,二、核心实验详情,二、核心实验详情
mvp_cn/outputs/research_documentation/02_DAY2_2026-06-23.md,37,heading,,2.1 高频自适应轮动,2.1 高频自适应轮动
mvp_cn/outputs/research_documentation/02_DAY2_2026-06-23.md,64,heading,,2.2 ETF系统性筛选,2.2 ETF系统性筛选
mvp_cn/outputs/research_documentation/02_DAY2_2026-06-23.md,69,bullet,,2.2 ETF系统性筛选,`ak.fund_etf_spot_em()` + `ak.fund_etf_category_sina()` → 1567只ETF
mvp_cn/outputs/research_documentation/02_DAY2_2026-06-23.md,70,bullet,,2.2 ETF系统性筛选,关键词筛选(消费/医药/科技/金融/能源/军工等) → 730只行业ETF
mvp_cn/outputs/research_documentation/02_DAY2_2026-06-23.md,74,bullet,,2.2 ETF系统性筛选,`data/raw/sina/` → 226只已缓存ETF
mvp_cn/outputs/research_documentation/02_DAY2_2026-06-23.md,99,heading,,2.3 gap_return_20 因子验证,2.3 gap_return_20 因子验证
mvp_cn/outputs/research_documentation/02_DAY2_2026-06-23.md,104,bullet,,2.3 gap_return_20 因子验证,3训练窗口(滚动5年/8年/扩展) × 2因子集(基准5/基准+gap)
mvp_cn/outputs/research_documentation/02_DAY2_2026-06-23.md,105,bullet,,2.3 gap_return_20 因子验证,扩展窗口ΔSharpe=+0.13（但扩展窗口用全部历史数据—存在look-ahead）
mvp_cn/outputs/research_documentation/02_DAY2_2026-06-23.md,106,bullet,,2.3 gap_return_20 因子验证,"滚动5年ΔSharpe=+0.07, 滚动8年ΔSharpe=-0.01"
mvp_cn/outputs/research_documentation/02_DAY2_2026-06-23.md,109,bullet,,2.3 gap_return_20 因子验证,"墙=2022-12-31, 墙前决策ΔSharpe=+0.03 → ADOPT"
mvp_cn/outputs/research_documentation/02_DAY2_2026-06-23.md,110,bullet,,2.3 gap_return_20 因子验证,墙后锁定模型验证 → Sharpe=1.24 (vs CSI300 0.55)
mvp_cn/outputs/research_documentation/02_DAY2_2026-06-23.md,120,heading,,2.4 12ETF长历史扩展 → 发现核心规律,2.4 12ETF长历史扩展 → 发现核心规律
mvp_cn/outputs/research_documentation/02_DAY2_2026-06-23.md,149,heading,,2.5 8ETF优化组合,2.5 8ETF优化组合
mvp_cn/outputs/research_documentation/02_DAY2_2026-06-23.md,179,heading,,2.6 证券-银行相关性检验,2.6 证券-银行相关性检验
mvp_cn/outputs/research_documentation/02_DAY2_2026-06-23.md,197,heading,,2.7 三策略机制拆解对比,2.7 三策略机制拆解对比
mvp_cn/outputs/research_documentation/02_DAY2_2026-06-23.md,209,heading,,2.8 完整因子筛选全链路,2.8 完整因子筛选全链路
mvp_cn/outputs/research_documentation/02_DAY2_2026-06-23.md,237,heading,,2.9 Alpha交叉验证,2.9 Alpha交叉验证
mvp_cn/outputs/research_documentation/02_DAY2_2026-06-23.md,253,heading,,2.10 新维度因子探索,2.10 新维度因子探索
mvp_cn/outputs/research_documentation/02_DAY2_2026-06-23.md,277,heading,,2.11 多墙稳健性检验 (最终判定),2.11 多墙稳健性检验 (最终判定)
mvp_cn/outputs/research_documentation/02_DAY2_2026-06-23.md,294,heading,,三、今日方法论创新,三、今日方法论创新
mvp_cn/outputs/research_documentation/02_DAY2_2026-06-23.md,296,heading,,"3.1 POOS墙 (vs 昨日""冻结期"")","3.1 POOS墙 (vs 昨日""冻结期"")"
mvp_cn/outputs/research_documentation/02_DAY2_2026-06-23.md,300,heading,,3.2 机制拆解 (Full/NoTrend/TrendOnly),3.2 机制拆解 (Full/NoTrend/TrendOnly)
mvp_cn/outputs/research_documentation/02_DAY2_2026-06-23.md,303,heading,,3.3 因子筛选全管道,3.3 因子筛选全管道
mvp_cn/outputs/research_documentation/02_DAY2_2026-06-23.md,306,heading,,3.4 多墙区间报告 (vs 单点Sharpe),3.4 多墙区间报告 (vs 单点Sharpe)
mvp_cn/outputs/research_documentation/02_DAY2_2026-06-23.md,312,heading,,四、失败探索及其价值,四、失败探索及其价值
